ID,Group,Time,AGB,BGB_0_30,SOC,Richness.B,Richness.F
sample104,LGE,2021,265.16,2233.207476,41.148,2519,975
sample105,LGE,2021,257.76,2138.078638,39.204,2416,873
sample106,LGE,2021,254.6,2012.786998,23.652,2440,803
sample107,LGE,2021,330.28,1889.815573,27.864,2423,818
sample108,LGE,2021,359.2,1950.141178,23.004,2560,804
sample109,LGE,2021,163.48,1865.45331,22.032,2330,788
sample110,LGE,2021,160.04,1040.616678,21.384,2553,962
sample111,LGE,2021,272.2,1467.536341,29.16,2547,955
sample112,LGE,2021,287.68,2338.777284,29.484,2449,984
sample113,LGE,2021,298.08,1772.644688,35.964,2430,902
sample114,LGE,2021,428.88,1771.48458,51.408,2309,834
sample115,LGE,2021,290.8,1716.959514,35.316,2470,869
sample116,NDG,2021,170.6,4780.804161,57.024,1947,814
sample117,NDG,2021,214.84,5566.197128,34.128,2396,789
sample118,NDG,2021,119.48,5174.080698,53.136,1772,690
sample119,NDG,2021,190.84,4923.497418,58.32,1891,733
sample120,NDG,2021,124.04,5944.972318,55.728,1866,811
sample121,SGE,2021,285.44,2126.47756,38.232,2533,520
sample122,SGE,2021,341.6,2158.960578,42.768,2338,772
sample123,SGE,2021,419.56,2033.668938,40.824,2453,823
sample124,SGE,2021,406.28,1842.251154,34.668,2475,889
sample125,SGE,2021,347.88,2495.391834,39.528,2373,652
sample126,SGE,2021,245.92,1797.006951,21.5136,2530,904
sample127,SGE,2021,330.68,1733.201023,19.9584,2468,893
sample128,SGE,2021,240.48,1553.384317,25.92,2275,530
sample129,SGE,2021,259.36,2240.168123,28.836,2602,1166
sample130,SGE,2021,272.56,1893.295897,20.9952,2479,761
sample131,SGE,2021,236.12,1914.177837,31.104,2422,1053
sample132,SGE,2021,228.52,1373.567611,30.78,2558,1089
sample133,SGE,2021,259.52,1442.01397,30.456,2592,1101
sample134,SGE,2021,280.88,2031.348722,25.488,2632,1178
sample135,SGE,2021,358.4,2274.971356,36.612,2461,1077
sample136,TGG,2021,224.28,1917.65816,40.176,2503,853
sample137,TGG,2021,291.32,1597.468413,38.556,2436,884
sample138,TGG,2021,341,1939.700208,40.824,2460,989
sample139,TGG,2021,381.04,1923.458699,29.484,2431,962
sample140,TGG,2021,303.36,1771.48458,27.54,2377,1037
sample141,TGG,2021,374.96,2222.766506,37.584,1660,151
sample142,TGG,2021,332.28,1879.374603,21.384,1987,449
sample143,TGG,2021,325.76,2965.235485,27.54,2277,689
sample144,TGG,2021,302.08,2235.527692,26.568,1941,690
sample145,TGG,2021,368.4,1592.827982,23.328,1689,491
sample146,TGG,2021,335.08,2171.721764,39.204,2248,729
sample147,TGG,2021,370.88,2225.086722,40.176,2370,796
sample148,TGG,2021,341.48,2483.790757,39.204,2262,685
sample149,TGG,2021,360.08,2100.955189,33.696,2400,861
sample150,TGG,2021,418.68,2414.18429,39.852,2460,875
sample151,EDG,2022,98.96,1327.613848,23.976,2446,735
sample152,EDG,2022,142.6,2494.042203,38.016,2567,636
sample153,EDG,2022,250.36,1389.141644,26.784,2551,838
sample154,EDG,2022,240.56,1721.045106,52.272,2466,577
sample155,EDG,2022,126.6,1232.289094,28.944,2573,720
sample156,LGE,2022,200.88,1606.655401,39.744,2553,678
sample157,LGE,2022,142.44,981.8449673,30.132,2614,846
sample158,LGE,2022,183.8,1278.218294,28.512,2601,847
sample159,LGE,2022,162,1367.476927,35.64,2568,692
sample160,LGE,2022,229.88,1465.401447,25.272,2442,553
sample161,LGE,2022,398.92,2062.481043,28.512,2314,720
sample162,LGE,2022,363.12,1383.942112,24.3,2470,948
sample163,LGE,2022,381.32,1549.460549,23.004,2265,777
sample164,LGE,2022,359.76,1253.953811,23.328,2381,765
sample165,LGE,2022,403.48,1260.88652,23.328,2374,714
sample166,LGE,2022,266.08,1653.451189,24.3,2554,717
sample167,LGE,2022,327.96,1694.180857,38.556,2442,753
sample168,LGE,2022,341.68,1728.844404,32.076,2483,898
sample169,LGE,2022,344.72,1196.758958,36.288,2484,845
sample170,LGE,2022,182.52,1136.96434,27.864,2525,747
sample171,NDG,2022,185.2,5921.770162,NA,2097,658
sample172,NDG,2022,240.8,4407.249456,60.912,1982,595
sample173,NDG,2022,170.64,6965.28711,51.192,1868,364
sample174,NDG,2022,193.12,6270.962604,71.928,2265,747
sample175,NDG,2022,131.92,5730.352378,60.912,1951,449
sample176,SGE,2022,312.84,2051.215391,53.784,1899,439
sample177,SGE,2022,329.52,1734.910525,32.4,2525,718
sample178,SGE,2022,267.44,2009.619134,40.5,2499,590
sample179,SGE,2022,220.52,1340.612678,42.768,2505,836
sample180,SGE,2022,284.32,2135.274492,29.808,2018,797
sample181,SGE,2022,342.6,1104.03397,36.612,2506,796
sample182,SGE,2022,387.56,1316.348195,25.92,2491,835
sample183,SGE,2022,364.84,1729.710993,23.004,2507,693
sample184,SGE,2022,259.32,1699.380389,23.004,2550,826
sample185,SGE,2022,346.48,1709.779453,19.1808,2452,802
sample186,SGE,2022,182.6,1932.492742,31.104,2547,803
sample187,SGE,2022,283.08,1441.136964,36.288,2445,843
sample188,SGE,2022,346.88,1635.252827,37.26,2527,740
sample189,SGE,2022,188.56,1753.108887,28.836,2415,700
sample190,SGE,2022,335.52,1918.627324,28.836,2589,775
sample191,TGG,2022,224.2,1336.279735,38.556,2436,760
sample192,TGG,2022,229.4,2439.447116,24.948,2485,695
sample193,TGG,2022,348.92,2643.962043,30.456,2234,724
sample194,TGG,2022,229.4,2227.132891,25.92,1898,315
sample195,TGG,2022,292.04,1175.094242,28.188,2406,648
sample196,TGG,2022,353.16,1339.74609,21.384,2263,610
sample197,TGG,2022,322.96,1560.726201,21.2544,2410,731
sample198,TGG,2022,284.56,1790.3722,19.6992,2168,683
sample199,TGG,2022,256.2,2287.794099,20.412,2336,691
sample200,TGG,2022,307.48,2352.788249,20.088,2229,681
sample201,TGG,2022,370.72,1557.259847,37.26,2274,873
sample202,TGG,2022,323.72,2384.85203,33.048,2246,674
sample203,TGG,2022,302.68,2168.204862,35.316,2441,638
sample204,TGG,2022,199.6,1916.027558,34.344,2396,725
sample205,TGG,2022,357.6,1664.716842,39.852,2360,842
sample206,EDG,2023,237.12,1358.81104,32.5944,2404,725
sample207,EDG,2023,279.6,2189.00299,NA,2447,509
sample208,EDG,2023,247.08,3117.119459,39.312,2461,869
sample209,EDG,2023,416.12,1234.88886,NA,2546,956
sample210,EDG,2023,401.28,1510.464058,61.56,2593,957
sample211,LGE,2023,175.24,1371.80987,57.672,2426,748
sample212,LGE,2023,305.64,1340.612678,43.416,2657,898
sample213,LGE,2023,150.52,1571.125265,40.5,2696,729
sample214,LGE,2023,160.08,2164.738507,35.316,2681,851
sample215,LGE,2023,189.44,1928.159799,44.712,2647,921
sample216,LGE,2023,261.44,1962.823346,41.148,2653,778
sample217,LGE,2023,373.84,2077.213051,28.836,2601,890
sample218,LGE,2023,409.04,1387.408467,25.272,2406,733
sample219,LGE,2023,289.4,1026.04099,24.3,2604,832
