ID,Time,Group,Amino,BNC,FNC,MAOC,POC,MAOC/SOC
2021W1,2021,TGG,7.940023581,0.516960819,5.155331127,17.34465052,2.980520239,43.17167095
2021W7,2021,TGG,5.127302771,0.267135746,3.15720436,17.17312111,1.555545696,42.06623827
2021W13,2021,TGG,6.104738998,0.56826613,5.770741167,19.0857301,2.977439832,69.30185221
2021W16,2021,LGE,6.248745348,0.353971346,6.027347433,17.32820761,2.042746451,61.47370374
2021W22,2021,LGE,7.619449662,0.239816818,5.024977678,21.62055363,1.109207574,52.68166089
2021W28,2021,LGE,8.809670184,0.315085323,5.767214463,25.52088581,1.234617503,65.09765792
2021W31,2021,TGG,4.284015451,0.321558072,3.210958759,21.59701038,1.488900855,57.46330987
2021W37,2021,TGG,5.460274125,0.298777454,5.429796167,18.68512111,1.599012669,67.8472081
2021W43,2021,TGG,3.187184586,0.33451203,3.653089368,17.8969827,1.869097355,76.71889017
2021W46,2021,LGE,6.35397425,0.270944403,6.780868271,20.12499654,1.346307824,85.08792719
2021W52,2021,LGE,4.338476601,0.547895479,4.725008897,18.39811765,2.977997477,79.97790667
2021W58,2021,LGE,4.256429372,0.54979277,4.538561515,17.61782699,3.120661649,82.38789277
2021W61,2021,TGG,4.233655379,0.290413549,2.68973488,22.38215917,1.297522491,57.09151916
2021W67,2021,TGG,3.667667345,0.248691732,2.416885838,17.84130104,1.393910297,45.5088793
2021W73,2021,TGG,4.917346275,0.363101082,3.038943288,25.71670588,1.411926875,64.53052765
2021W76,2021,LGE,5.557853629,0.242427601,6.375880013,16.79568166,1.443392448,57.5983596
2021W82,2021,LGE,7.847548292,0.583397128,5.773871352,23.01857439,2.534462465,64.00448891
2021W88,2021,LGE,7.092162797,0.416520053,5.21878945,20.81223529,2.001323005,58.93146248
2021W91,2021,EDG,4.957414633,0.147313165,3.446937941,17.96611765,0.819949909,45.20460359
2021W97,2021,EDG,3.422547866,0.174299986,3.272093953,16.51023529,1.055708676,40.22961815
2021W103,2021,EDG,4.557624446,0.216674815,3.097249965,21.168,1.023596065,41.17647059
2021W106,2021,NDG,5.815155503,0.278314067,2.725557661,29.4192,0.946028671,51.59090909
2021W112,2021,NDG,8.720932372,0.347790934,4.220802104,22.14698824,1.570375754,41.67981828
2021W118,2021,NDG,7.348842028,0.197295554,3.37741958,22.09298824,0.893023398,39.64432285
2021W121,2021,SGE,7.683164277,0.34833448,4.739656137,20.42208997,1.705674984,53.41622193
2021W127,2021,SGE,5.101319093,0.286328106,3.319876417,23.29212457,1.229291496,57.05497886
2021W133,2021,SGE,8.380222526,0.376773443,5.630368664,22.11570934,1.703646206,55.94947718
2021W136,2021,SGE,2.256930719,0.234156752,2.54611109,14.06731765,1.664544426,65.38802269
