ID,Group,Time,complexity.b,complexity.f,AVD.b,AVD.f,MDS1.b,MDS1.f,Richness.b,Richness.f
ND1_4_23,LGE,2023,0.419692312,0.333427124,0.608371077,0.359080838,0.057285167,-0.038120162,1900,798
ND1_5_19,LGE,2019,0.347248501,0.340398241,0.723087647,0.629653382,0.27737639,0.227282826,1987,1612
ND1_5_20,LGE,2020,0.403039138,0.123409996,0.635124051,0.35017192,0.030954342,0.010252677,2198,416
ND1_5_21,LGE,2021,0.427393375,0.301943357,0.562924957,0.359995459,0.006738638,-0.052002612,2304,795
ND1_5_22,LGE,2022,0.42341264,0.314820984,0.555011508,0.379881257,-0.021485244,-0.07030171,2110,681
ND1_5_23,LGE,2023,0.428719112,0.31082673,0.565102242,0.329800377,0.009113363,-0.041437556,2192,725
ND2_1_19,LGE,2019,0.303394003,0.333621374,0.715506272,0.384945227,0.27999939,0.274305249,2397,1032
ND2_1_20,LGE,2020,0.374666413,0.211674608,0.557501777,0.43274028,0.033547887,0.069915061,2300,380
ND2_1_21,LGE,2021,0.419759126,0.250580617,0.569626756,0.323758267,0.038133233,0.099031231,2056,568
ND2_1_22,LGE,2022,0.425331878,0.262039548,0.539616022,0.321374831,0.045148899,0.111024933,2362,491
ND2_1_23,LGE,2023,0.435076668,0.306076133,0.569163046,0.305933223,-0.005311498,0.062407922,2306,850
ND2_2_19,LGE,2019,0.300251168,0.335918649,0.743599927,0.420096029,0.28479702,0.307041343,2553,1520
ND2_2_20,LGE,2020,0.407407594,0.276172518,0.520891873,0.381522865,-0.013845609,-0.00409643,2395,677
ND2_2_21,LGE,2021,0.418671428,0.203752388,0.628491076,0.314311913,-0.026582733,0.056134018,2343,563
ND2_2_22,LGE,2022,0.429886731,0.253739392,0.553511866,0.295316109,0.018945335,0.044724856,2319,495
ND2_2_23,LGE,2023,0.407877158,0.275694823,0.593101727,0.293714796,0.071225939,0.087650192,2412,634
ND2_3_19,LGE,2019,0.293800226,0.347785314,0.695911976,0.485664554,0.294231785,0.288214068,2211,1058
ND2_3_20,LGE,2020,0.423764201,0.239387002,0.491384534,0.280426109,0.013402088,0.086488877,2155,631
ND2_3_21,LGE,2021,0.411003883,0.227440221,0.552331576,0.341248136,0.005762221,0.08249608,2326,604
ND2_3_22,LGE,2022,0.418548629,0.214868152,0.54764372,0.371447536,0.017899044,0.014316501,2290,483
